tweet_id,content,target
1956967666,Layin n bed with a headache  ughhhh...waitin on your call...,0.0
1956967696,Funeral ceremony...gloomy friday...,0.0
1956968477,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0.0
1956968487,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0.0
1956968636,Hmmm. http://www.djhero.com/ is down,0.0
1956969035,@charviray Charlene my love. I miss you,0.0
1956969172,@kelcouch I'm sorry  at least it's Friday?,0.0
1956969531,Choked on her retainers,0.0
1956970047,Ugh! I have to beat this stupid song to get to the next  rude!,0.0
1956970424,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0.0
1956971077,The storm is here and the electricity is gone,0.0
1956971206,So sleepy again and it's not even that late. I fail once again.,0.0
1956971473,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,0.0
1956971586,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0.0
1956971981,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,0.0
1956972270,I ate Something I don't know what it is... Why do I keep Telling things about food,0.0
1956972359,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,0.0
1956972444,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,0.0
1956972557,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0.0
1956972884,Damm servers still down  i need to hit 80 before all the koxpers pass me,0.0
1956973598,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,0.0
1956973690,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,0.0
1956976312,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0.0
1956976371,I need skott right now,0.0
1956977618,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,0.0
1956977624,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,0.0
1956978410,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",0.0
1956978668,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",0.0
1956979150,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,0.0
1956979900,why am i so tired?,0.0
1956980972,sucks not being able to take days off of work or have the money to take the trip  so sad,0.0
1956982383,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",0.0
1956982449,@itsgabbith at once haha.  poor aby still gets sore!,0.0
1956982576,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,0.0
1956982605,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,0.0
1956983160,@Pokinatcha  in all honesty...pain   blech.,0.0
1956983171,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,0.0
1956983509,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,0.0
1956983690,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,0.0
1956983851,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,0.0
1956984185,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',0.0
1956984864,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",0.0
1956985612,is sad that shin ae got married...and it wasn't to alex,0.0
1956985758,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",0.0
1956985764,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,0.0
1956986211,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0.0
1956986359,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",0.0
1956986767,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,0.0
1956987381,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,0.0
1956987828,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,0.0
1956987904,I can't sleep...I keep thinking about the puppy I played with today,0.0
1956987950,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,0.0
1956988223,"Last one month due to summer, strawberry is not availble in the Chennai markets!",0.0
1956989514,@sweeetnspicy hiii im on my ipod...i cant fall asleep,0.0
1956989526,dont wanna work 11-830 tomorrow  but i get paid,0.0
1956989560,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,0.0
1956989914,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),0.0
1956990568,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,0.0
1956990729,Oh no one minute too late! Oh well,0.0
1956991673,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0.0
1956991723,ahh! big scary bug flying around my room!!!!!,0.0
1956992030,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",0.0
1956992144,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,0.0
1956993007,i'm so tired,0.0
1956995196,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,0.0
1956995762,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,0.0
1956996470,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",0.0
1956996730,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,0.0
1956996776,Is miserable  i feel like im gona cry  sux!,0.0
1956997352,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,0.0
1956998532,*sigh* I'm going to bed... I just don't feel right anymore...,0.0
1956998704,Now I am depressed after watching so you think you can dance,0.0
1957000040,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",0.0
1957000290,"I cant sleep, but im too sore to move",0.0
1957000788,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,0.0
1957001370,@omfgiselle i cant do anything,0.0
1957002082,"Last day working for the Uni today, sad times",0.0
1957002923,My head hurts so bad I could scream!,0.0
1957003048,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,0.0
1957003356,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,0.0
1957003440,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,0.0
1957004184,oh men!!!!!!......I really can't see my face........c'mon guys!!!,0.0
1957004519,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",0.0
1957004606,my sole supporter is not my sole supporter,0.0
1957005165,@Emilyyy16 urgh stop it guys,0.0
1957005226,is still missing her husband.    I really want him home.,0.0
1957005279,I miss my puppy,0.0
1957005713,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0.0
1957005817,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,0.0
1957006033,@BarbSchaefer yearling in pet home died... very sad for their whole family,0.0
1957006098,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,0.0
1957006245,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",0.0
1957006307,is feeling sad... for some reason..  http://plurk.com/p/wxji3,0.0
1957006547,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,0.0
1957006674,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,0.0
1957006947,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",0.0
1957007633,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0.0
1957007981,@jertronic it wont let me,0.0
1957008075,Took a shift tomorrow.    I don't really feel like working right now.,0.0
1957008193,but now i have no money for a phone,0.0
1957008287,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,0.0
1957008292,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,0.0
1957008498,Too bad the Red Devils.. disappointing to say the least,0.0
1957008802,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0.0
1957009454,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",0.0
1957010072,why are plane tickets so expensive,0.0
1957010415,Needs a job BADLY!!!,0.0
1957011291,@AlexanderGWhite daaammmnnnnn I do wish I was there.,0.0
1957011738,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,0.0
1957012476,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0.0
1957012769,is a bad friend,0.0
1957013885,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0.0
1957013896,@lenje - Still a pity it comes with no lamb though,0.0
1957014267,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,0.0
1957015719,people in my house do not know how to close doors,0.0
